SpT,PS1gmag,PS1rmag,PS1imag,PS1zmag,PS1ymag,Jmag,Hmag,Ksmag,W1mag,W2mag,W3mag,W4mag,label
T2,,,,20.47,19.1,,,,15.58,14.58,12.37,8.66,true
T8.5,,,,,21.3,,,,18.72,15.19,12.86,9.54,true
L1,,,22.4,21.1,20.21,,,,16.18,15.82,12.15,8.8,true
L1.5,,21.82,19.7,18.3,17.35,15.39,14.55,13.95,13.54,13.26,12.6,8.71,true
L3,,21.2,18.87,17.37,16.35,14.17,13.18,12.59,12.03,11.73,11.18,8.73,true
L7:red,,,,21.06,19.88,17.64,15.76,14.87,13.72,13.09,12.16,8.91,true
L0,,,20.24,18.81,17.91,16.11,15.38,15.2,14.5,14.28,11.97,8.68,true
L1,,,19.88,18.27,17.3,15.52,15.01,14.51,14.19,13.85,11.89,8.76,true
L5.5,,,21.19,19.31,18.25,16.25,15.46,15.02,14.03,13.68,12.61,8.92,true
T6,,,,,20.13,,,,16.85,15.14,12.48,9.0,true
L2,,22.16,19.99,18.52,17.5,15.6,14.64,14.09,13.73,13.42,12.87,9.32,true
T6,,,,,20.12,,,,17.77,16.06,11.87,8.56,true
L1:,,20.89,18.43,16.99,16.0,14.19,13.31,12.85,12.5,12.26,11.8,9.12,true
L0,,,19.64,18.15,17.2,15.4,14.8,14.26,13.94,13.68,12.23,9.11,true
L4,,22.94,20.66,19.12,18.06,15.85,14.7,14.08,13.37,13.12,12.58,8.93,true
L6.8FLD-G,,,21.1,18.87,17.86,15.66,14.7,14.12,13.31,12.87,11.97,8.42,true
T1.5,,,,20.72,19.33,16.93,16.04,15.25,15.4,14.5,12.33,8.95,true
T3,,,,20.85,19.3,,,,15.97,14.89,12.44,9.0,true
L0,,22.66,20.39,18.92,17.96,16.13,15.77,15.09,14.86,14.64,12.99,9.29,true
L0,23.01,20.96,18.46,16.96,15.99,14.08,13.31,12.81,12.38,12.05,11.53,8.4,true
L2,,21.68,19.61,18.19,17.21,15.22,14.34,13.76,13.46,13.21,12.61,8.94,true
L0,,22.3,20.62,19.17,18.26,16.39,15.74,15.3,15.06,14.88,12.58,9.28,true
L6:,,,22.58,20.8,19.65,17.54,16.42,15.9,15.48,15.17,12.6,8.97,true
L1,,,20.53,19.12,18.13,16.11,15.37,14.82,14.56,14.31,12.71,8.92,true
T0,,,,19.57,18.13,15.98,15.07,14.68,14.24,13.6,12.12,8.58,true
L0,,21.1,18.88,17.35,16.4,14.5,13.69,13.26,12.94,12.65,12.08,8.98,true
L0,,,20.17,18.74,17.79,15.74,15.04,14.37,14.12,13.87,12.33,8.84,true
T5,,,,21.48,19.53,,,,16.6,14.94,11.98,8.7,true
L0,,22.81,22.19,21.03,19.99,,,,16.61,15.95,12.4,9.0,true
L1,,,22.04,20.75,19.66,,,,16.28,16.02,12.2,8.74,true
L3,,21.01,18.86,17.2,16.16,14.01,13.06,12.48,11.9,11.65,11.16,8.7,true
L0,22.55,20.48,18.2,16.72,15.77,13.82,13.09,12.52,12.21,11.98,11.52,9.01,true
T4.5,,,,,19.54,,,,16.57,14.67,11.98,8.84,true
L0,,,20.59,19.06,18.08,16.32,15.43,15.21,14.91,14.59,12.37,9.41,true
L3:,,,22.42,20.68,19.4,,,,15.1,14.87,12.38,8.88,true
T3,,,,20.23,18.51,16.54,15.82,15.82,15.21,14.0,12.07,8.8,true
L1,,22.27,20.02,18.53,17.58,15.65,14.75,13.95,13.64,13.37,12.48,9.3,true
L1,,,20.99,19.78,19.2,,,,,,,,true
L8,,,21.37,18.87,17.73,15.58,14.56,13.99,13.43,12.79,11.47,8.8,true
L0,,,20.15,18.74,17.75,15.93,15.11,14.71,14.42,14.14,12.05,9.18,true
L0,,21.74,19.67,18.04,17.08,15.3,14.61,14.17,13.93,13.57,12.22,9.01,true
L1,,21.97,19.84,18.4,17.44,15.52,14.66,14.22,13.72,13.59,12.33,9.16,true
L9,,,,21.06,20.07,,,,15.67,15.18,12.19,8.64,true
T3,,,,19.81,18.16,15.91,15.33,15.06,14.66,13.48,12.02,8.94,true
L4.5,,,21.78,20.32,19.3,,,,15.71,15.67,12.04,8.23,true
L2,,,21.24,19.62,18.71,16.48,15.73,15.2,14.88,14.48,12.1,8.77,true
L1,,22.26,20.18,18.82,17.92,16.13,15.0,14.19,14.05,13.87,12.26,8.95,true
L0.5,,21.82,20.03,18.64,17.65,15.81,15.01,14.46,,,,,true
L5,,21.64,19.61,17.89,16.85,14.68,13.65,13.01,12.38,12.08,11.05,8.17,true
L1,,,20.69,19.14,18.11,16.33,15.66,15.42,14.83,14.45,12.0,9.05,true
L1,,,21.8,20.72,19.72,,,,15.93,15.79,12.65,8.9,true
T4,,,,21.19,19.56,,,,16.55,15.03,12.53,8.71,true
T3,,,,22.05,20.4,,,,16.89,16.31,12.51,8.64,true
L0,,,20.12,18.64,17.77,16.19,15.5,15.07,14.68,14.41,12.29,9.14,true
T3.5:,,,,20.42,18.78,16.59,15.78,15.88,14.93,13.74,12.25,9.35,true
L0,,,20.95,19.43,18.45,16.33,15.45,14.85,14.47,14.14,12.23,8.43,true
L5,,,21.61,19.74,18.68,16.35,15.66,15.02,14.32,14.11,12.69,9.16,true
L1,,22.54,20.15,18.65,17.65,15.59,14.77,14.11,13.67,13.34,12.63,9.05,true
L3.5:,,,,20.26,19.25,17.07,15.74,15.81,14.94,14.71,12.51,8.82,true
T7.5,,,,20.34,18.54,15.86,15.75,15.89,15.27,13.21,11.7,8.96,true
L4,,,22.08,20.26,19.29,16.9,15.81,14.99,14.55,14.24,12.37,8.64,true
L1,,21.52,20.42,18.97,17.81,16.1,15.16,14.62,14.13,13.96,12.57,8.82,true
L2,,,,,19.92,,,,16.34,16.09,12.62,9.1,true
L0,,22.25,19.49,18.11,17.37,15.68,15.09,14.71,14.42,14.17,12.75,9.11,true
L8,,,,19.34,18.18,15.91,14.91,14.31,13.55,12.93,11.72,9.15,true
L4,,,,21.26,20.14,,,,15.66,15.24,12.52,8.64,true
L0,21.83,19.84,17.44,15.96,14.99,13.17,12.41,11.95,11.65,11.37,10.83,8.67,true
L6,,,21.17,19.41,18.43,16.09,14.99,14.25,13.72,13.45,12.03,8.52,true
L5,,,21.44,19.67,18.67,16.33,15.36,14.84,14.02,13.74,11.86,8.76,true
L3,,,20.79,19.3,18.39,16.55,15.65,15.04,14.7,14.32,12.3,8.94,true
T6,,,,19.36,17.7,15.26,15.1,15.07,14.66,12.73,11.16,8.43,true
T6,,,,20.64,18.94,16.43,16.3,15.87,16.2,13.99,12.29,9.0,true
L0,,,20.74,19.28,18.48,16.62,16.28,15.57,15.46,15.24,12.38,9.07,true
L5,,21.28,19.4,17.57,16.52,14.38,13.35,12.77,12.02,11.69,11.1,8.89,true
L0,,22.28,19.98,18.51,17.57,15.91,15.21,14.89,14.35,14.02,12.28,8.63,true
L0,,22.63,20.11,18.54,17.51,15.61,14.83,14.16,13.8,13.33,11.72,8.96,true
L4:,,,,20.78,19.44,,,,15.6,14.97,11.86,8.62,true
L4:,,21.98,20.26,18.97,18.09,16.07,15.01,14.43,13.97,13.67,12.09,8.62,true
L2,,21.38,19.21,17.68,16.68,14.62,13.71,13.14,12.6,12.29,11.95,8.91,true
T5.5,,,,19.75,18.05,15.57,15.31,15.22,15.07,13.08,12.23,9.03,true
L0,,,20.26,18.84,17.89,15.93,15.23,14.69,14.46,14.17,12.49,8.81,true
L0,,20.56,18.04,16.59,15.64,13.73,13.07,12.55,12.23,11.95,11.66,8.8,true
L0,,,20.43,19.0,18.05,16.21,15.51,14.99,14.77,14.51,12.21,8.39,true
T3.5,,,,21.95,20.48,,,,,,,,true
L1:,,,22.42,20.89,19.93,,,,16.07,15.66,12.3,8.4,true
T6.5,,,,,18.43,16.05,15.74,16.06,15.38,12.93,11.94,8.87,true
T3,,,,21.63,20.11,,,,15.96,15.4,12.48,8.94,true
L5,,21.63,19.63,17.96,16.92,14.71,13.57,12.79,12.05,11.68,11.11,9.15,true
L6,,,20.53,19.2,18.15,16.14,15.05,14.33,,,,,true
L0,,22.5,19.8,18.33,17.37,15.59,14.66,14.5,14.11,13.87,12.3,9.29,true
L1:,,,,18.14,,,,,,,,,true
T4,,,,21.85,20.4,,,,17.21,16.65,12.72,8.58,true
L0,,,20.78,19.31,18.38,16.6,16.08,15.61,15.33,14.93,12.49,8.88,true
L1,,22.78,20.47,19.02,18.05,16.05,15.32,14.73,14.38,14.13,12.13,9.03,true
L1,23.21,22.21,19.4,18.16,17.48,15.95,15.36,15.2,14.78,14.55,12.22,8.77,true
L0,,22.46,20.11,18.66,17.8,16.12,15.31,14.79,14.8,14.51,12.97,9.45,true
L4,,21.86,19.94,18.29,17.26,15.09,13.94,13.28,12.58,12.21,11.96,8.88,true
L0:,,,20.24,18.75,17.81,15.99,15.1,14.73,14.43,14.07,12.75,9.05,true
T7,,,,,20.26,,,,17.3,15.45,12.14,8.93,true
L0,,22.02,19.54,18.11,17.16,15.44,14.69,14.29,13.92,13.58,12.89,9.34,true
T4,,,,20.56,18.9,16.54,16.18,16.06,15.92,14.6,12.46,9.12,true
T6,,,,21.05,19.52,16.93,17.1,15.72,16.41,14.59,12.63,8.75,true
T2.5,,,,20.61,19.15,,,,15.68,14.64,12.34,9.26,true
L0,,,20.66,19.2,18.32,16.49,16.01,15.47,15.26,15.01,12.5,8.92,true
L0,,,19.76,18.49,17.8,16.45,16.16,15.11,15.18,14.88,12.03,8.86,true
L4.2,,,20.53,18.9,17.9,15.83,14.75,14.48,13.47,13.24,11.68,9.15,true
L3,,22.68,20.63,19.14,18.17,16.0,15.16,14.49,14.22,13.95,12.23,8.52,true
L1,,,20.63,19.25,18.36,16.31,15.23,14.72,14.17,13.96,12.29,8.93,true
L2,,22.57,20.52,19.17,18.23,16.27,15.26,14.68,14.34,14.14,12.71,8.73,true
L0,,,20.21,18.75,17.88,16.19,15.27,15.07,14.67,14.4,12.55,8.51,true
L0,,22.07,19.68,18.23,17.27,15.46,14.6,14.18,13.78,13.48,11.96,9.14,true
T7,,,,,20.12,,,,16.78,14.85,12.28,9.03,true
T2,,,,18.7,17.15,14.89,14.09,13.84,13.31,12.41,10.97,8.35,true
L1,,,20.74,19.25,18.27,16.83,15.56,15.33,14.9,14.61,12.46,9.17,true
L0,,,20.52,18.99,18.01,16.19,15.35,15.01,14.64,14.49,12.28,9.14,true
L8::,,,,20.36,,16.66,15.6,14.57,13.6,12.8,11.8,8.65,true
L3.4INT-G,,,21.28,19.76,18.77,16.42,15.37,14.71,14.13,13.74,12.24,9.29,true
L0,,22.48,20.32,18.85,17.92,16.13,15.39,14.92,14.68,14.39,12.53,8.79,true
L2:,,21.17,19.02,17.56,16.61,14.48,13.52,12.79,12.34,12.04,11.45,8.86,true
T7,,,,,19.9,17.23,16.96,17.0,16.67,14.43,12.2,8.48,true
L4,,22.93,20.75,18.95,17.92,15.94,14.72,14.12,13.51,13.21,11.93,9.0,true
L4.5,,,21.84,20.37,19.31,16.72,15.53,14.89,14.58,14.1,12.58,8.46,true
T8,,,,,19.8,,,,16.04,13.85,11.7,9.08,true
L1,21.75,19.54,17.16,15.52,14.56,12.72,12.08,11.62,11.24,10.99,10.38,8.73,true
L1,,21.66,19.5,17.97,16.98,15.15,14.43,14.01,13.7,13.43,12.92,9.15,true
T8.5,,,,,21.02,,,,17.62,14.87,12.0,9.1,true
L1,,,20.34,18.74,17.81,16.1,15.45,14.86,14.44,14.19,12.35,9.4,true
L1,,21.25,18.89,17.45,16.48,14.54,13.67,13.1,12.79,12.56,11.91,9.22,true
L0,,,20.04,18.48,17.5,15.54,15.02,14.37,14.15,13.92,12.72,9.21,true
L2,,,20.73,19.35,18.35,16.36,15.47,14.97,14.6,14.31,12.5,9.17,true
L0,,,20.52,19.08,18.13,16.14,15.49,14.99,14.71,14.47,12.3,9.24,true
L0,,,20.64,19.25,18.33,16.31,15.37,15.04,14.64,14.39,12.29,8.59,true
L0,,21.9,19.64,18.19,17.21,15.29,14.57,13.95,,,,,true
T0pec,,,,21.13,19.71,17.24,16.37,15.76,15.09,14.62,12.32,8.82,true
L2,,20.22,17.98,16.52,15.53,13.41,12.39,11.75,11.25,10.92,10.42,9.24,true
L5,,,20.11,18.34,17.28,15.2,14.04,13.37,12.6,12.18,11.4,8.53,true
L0,,21.34,19.11,17.63,16.61,14.63,13.8,13.22,12.92,12.6,11.85,8.74,true
L8(sl.blue),,,,19.78,18.71,16.92,15.43,14.82,14.06,13.61,11.97,9.05,true
L2,,,21.37,19.9,18.88,16.67,16.16,15.49,14.97,14.66,13.14,9.15,true
L0,,21.52,19.54,18.14,17.19,15.13,14.35,13.85,13.51,13.28,12.3,8.44,true
L0,,22.42,20.08,18.62,17.77,16.08,15.4,14.78,14.63,14.4,12.53,9.22,true
L3:,,,22.07,20.89,19.83,,,,16.3,15.74,12.38,8.98,true
L3,,,20.69,19.27,18.33,16.19,15.69,14.79,14.64,14.31,12.18,9.06,true
L5pec(blue),,,20.56,18.75,17.65,15.55,14.75,14.14,13.53,13.12,12.09,8.64,true
L0:,,20.84,18.33,16.85,15.92,14.17,13.41,12.95,12.64,12.37,12.27,9.26,true
L0,,21.93,19.81,18.3,17.31,15.33,14.78,14.3,14.0,13.68,12.87,9.35,true
T2.5,,,,21.19,19.77,,,,16.06,15.28,12.53,9.22,true
L3.5:,,,21.52,19.91,18.82,16.62,16.17,15.3,14.83,14.54,12.21,8.77,true
L3,,22.61,20.6,19.22,18.3,16.68,15.64,15.4,15.07,14.77,12.35,8.97,true
L5.5,,,20.23,18.28,17.22,15.2,14.06,13.46,12.74,12.32,11.75,9.23,true
L1,,,20.32,18.85,17.87,15.81,15.04,14.77,14.39,14.14,12.7,8.99,true
L0,,22.19,19.86,18.35,17.37,15.54,14.77,14.36,14.01,13.67,12.72,8.48,true
T3:,,,,,19.21,16.79,16.18,15.62,14.16,13.76,12.22,8.96,true
L0,,,20.72,19.24,18.31,16.21,15.53,14.96,14.61,14.23,11.9,8.76,true
T9:,,,,,20.96,18.43,17.71,17.67,17.51,14.67,12.28,9.31,true
L0,,,20.53,19.1,18.14,16.44,15.5,15.04,14.61,14.36,12.16,8.59,true
L5.5,,,21.31,19.71,18.68,16.34,15.23,14.53,13.91,13.53,12.37,8.84,true
T6.5,,,,,19.54,16.5,16.72,16.4,16.72,14.52,12.3,9.07,true
L3::,,,19.65,18.32,17.37,15.25,14.3,13.62,13.18,12.93,12.1,8.97,true
T5,,,,,20.29,,,,18.05,16.17,12.94,9.27,true
L0,,,19.45,17.96,16.97,14.9,14.19,13.66,13.33,13.07,12.85,8.86,true
T3.5,,,,19.94,18.19,15.77,15.47,15.42,15.09,13.8,11.98,9.06,true
L2,,,22.67,20.89,20.24,,,,16.13,15.79,12.24,8.93,true
T2.5pec,,,,19.31,17.87,15.6,14.58,14.06,13.12,12.29,10.78,9.3,true
L1,,21.85,19.61,18.09,17.16,15.09,14.52,13.91,13.58,13.3,12.18,8.68,true
T6pec,,,,22.22,20.25,,,,16.73,15.36,12.68,8.79,true
L5,,,21.15,19.15,18.04,15.85,14.74,13.85,12.87,12.35,11.44,8.75,true
L8:,,,,19.55,18.54,16.1,15.05,14.21,13.28,12.77,12.19,9.25,true
L1,,,19.16,17.68,16.69,14.6,13.79,13.24,12.83,12.55,12.09,9.06,true
L4.5,,,,20.71,19.67,,,,15.25,14.8,12.75,9.15,true
T4.5,,,,,19.55,,,,15.66,14.43,12.4,8.96,true
L5,,,21.3,19.46,18.37,16.19,15.0,14.27,13.6,13.37,12.24,8.95,true
L1,,,20.89,19.32,18.42,16.82,15.59,15.62,15.2,14.92,13.09,9.36,true
L0,,22.78,20.15,18.76,17.8,16.04,15.15,15.05,14.43,14.08,12.79,9.29,true
L0,,,20.39,18.95,18.12,16.44,15.76,15.21,15.21,14.96,12.83,9.02,true
L0,,20.89,18.55,17.12,16.15,14.33,13.4,12.89,12.58,12.34,11.75,9.01,true
L6,,,20.84,18.47,17.49,15.46,14.48,14.07,13.44,13.15,12.49,9.32,true
L2,,,20.38,19.04,18.07,16.08,15.12,14.35,14.13,13.84,12.04,8.99,true
L2,,,19.45,18.11,17.14,15.1,14.12,13.57,13.19,12.95,12.31,9.61,true
L0,,,20.65,19.19,18.26,16.57,15.49,15.33,15.01,14.83,12.46,9.13,true
L0,,,19.73,18.35,17.56,15.84,15.28,15.09,14.61,14.37,12.44,9.21,true
L3,,,19.67,18.19,17.23,15.38,14.37,13.85,13.54,13.27,12.57,8.61,true
L1.5,,,19.86,18.45,17.46,15.48,14.83,14.0,13.68,13.4,12.16,8.58,true
L4,,,21.56,20.14,19.12,16.86,16.02,15.71,14.86,14.63,12.5,8.83,true
L1,,21.11,18.72,17.24,16.26,14.41,13.63,13.1,12.78,12.54,12.45,9.17,true
L0,22.51,20.64,17.95,16.49,15.54,13.77,13.04,12.58,12.25,11.95,11.58,9.42,true
T5,,,,21.01,19.2,16.67,16.12,16.97,16.4,14.6,12.17,8.79,true
L2.5,,20.92,18.63,17.18,16.19,14.22,13.31,12.77,12.31,12.03,11.71,8.88,true
L1,,20.73,18.52,17.09,16.13,14.16,13.25,12.74,12.44,12.23,11.97,9.05,true
T7,,,,,21.05,,,,17.78,15.96,12.59,8.75,true
L4,,,,18.83,17.9,16.19,15.13,14.8,,,,,true
L2::,,20.65,19.07,17.69,16.72,14.61,13.73,13.08,12.74,12.4,11.78,9.13,true
L1,,21.84,19.68,18.17,17.13,15.21,14.39,14.04,13.6,13.32,12.63,9.32,true
L5.5,,,22.08,20.39,19.28,16.76,15.71,15.11,14.45,14.1,12.74,8.96,true
L2.5,,,20.59,19.14,18.13,16.14,15.05,14.59,13.98,13.7,12.78,9.1,true
L0,,,20.83,19.33,18.3,16.36,15.64,15.51,15.1,14.84,13.02,9.4,true
L0,,21.89,19.77,18.35,17.41,15.59,14.88,14.3,14.02,13.73,12.38,8.99,true
L6.5::pec(blue),,,21.14,19.34,18.31,16.27,15.46,15.23,14.55,14.26,12.2,9.19,true
L5,,,21.2,19.44,18.36,16.16,14.86,14.15,13.24,12.83,12.03,9.11,true
L0,,22.89,20.4,18.92,18.0,16.13,15.44,15.03,14.61,14.35,12.61,8.93,true
L1,,21.83,20.25,18.86,17.93,16.02,15.44,14.89,14.29,14.03,12.39,9.27,true
L0,,,20.49,18.95,18.04,16.3,15.53,15.02,14.84,14.47,12.77,8.96,true
T0,,,,20.53,19.45,,,,15.16,14.38,12.89,9.32,true
L6,,,22.13,20.62,19.59,,,,14.59,14.17,12.71,9.23,true
T3,,,,21.72,19.78,,,,15.74,15.15,12.65,9.23,true
L3.5,,,21.7,20.51,19.49,16.95,16.26,15.35,15.01,14.81,12.9,8.96,true
L0,,22.54,20.27,18.74,17.79,15.87,14.91,14.6,14.02,13.7,12.35,8.94,true
L2,,,19.96,18.55,17.59,15.74,14.79,14.16,13.77,13.54,12.24,9.42,true
L2,,,22.28,21.21,20.28,,,,15.94,15.56,12.88,9.08,true
T6.5,,,,20.34,18.63,16.0,15.46,15.77,15.4,13.63,11.92,9.07,true
T5.5,,,,20.83,19.04,16.48,16.09,16.45,16.11,14.12,12.15,9.08,true
L9,,,,20.16,19.03,16.94,15.91,15.26,14.44,13.81,12.69,9.57,true
L0:,,21.2,18.99,17.54,16.56,14.63,13.76,13.23,12.9,12.65,11.78,9.16,true
L0,,21.7,19.11,17.59,16.62,14.72,13.97,13.57,13.18,12.91,12.21,9.39,true
T0:pec,,,,20.73,19.52,16.97,15.79,15.41,14.49,13.79,12.16,9.3,true
L1.5,,21.92,19.67,18.21,17.17,15.08,14.35,13.85,13.46,13.16,12.41,8.85,true
L0,,22.57,20.38,18.88,17.9,16.05,15.29,14.99,14.64,14.41,12.54,8.81,true
L0,,21.45,19.14,17.64,16.73,14.88,14.63,14.2,13.71,13.35,12.18,8.89,true
L0,,,20.5,19.06,18.17,16.66,15.93,15.46,15.29,15.01,13.28,9.72,true
L2,,,20.75,19.35,18.36,16.3,15.41,14.74,14.44,14.25,12.28,9.02,true
L1,,21.12,18.68,17.17,16.16,14.35,13.58,13.16,12.75,12.49,12.15,8.79,true
L3,,,22.15,20.82,19.65,,,,14.84,14.62,12.31,8.74,true
T5,,,,,20.41,,,,18.23,16.0,12.23,9.22,true
L3,,22.64,20.12,18.69,17.68,15.58,14.65,13.88,13.37,13.0,12.4,9.42,true
L4pec(red),,,20.71,19.39,18.46,16.37,15.25,14.66,14.0,13.59,12.3,9.38,true
L0,,,20.27,18.89,17.93,16.16,15.32,14.9,14.49,14.19,12.86,9.29,true
T4.5:,,,,20.68,19.02,16.46,16.14,16.1,,,,,true
L8.5,,,,20.36,19.29,17.16,16.05,15.49,14.58,14.05,12.24,9.27,true
L0,,22.07,19.77,18.24,17.3,15.58,14.82,14.31,14.0,13.69,12.4,9.12,true
L7:,,,,19.56,18.4,16.3,15.09,14.49,13.85,13.35,12.12,9.09,true
L5,,,,20.58,19.54,,,,14.99,14.82,12.7,9.32,true
L1,,,19.95,18.41,17.42,15.45,14.65,14.18,13.84,13.52,12.7,9.21,true
T2pec,,,,20.45,19.17,17.31,16.51,16.01,14.93,14.23,12.8,9.34,true
L0,,,20.77,19.18,18.22,16.44,15.74,15.27,15.13,14.85,13.04,9.22,true
L0,,,20.57,19.12,18.19,16.41,16.13,15.46,15.01,14.71,12.99,9.09,true
L0,,,20.0,18.6,17.73,15.93,15.51,14.77,14.62,14.44,12.63,8.95,true
L0,,22.53,20.76,19.32,18.41,16.49,15.87,15.44,15.0,14.77,12.16,8.8,true
L1,,,20.07,18.44,17.5,15.6,14.91,14.53,14.23,13.96,12.28,9.08,true
L0,,22.44,20.28,18.83,17.94,16.19,15.44,15.0,14.61,14.35,12.73,9.13,true
L0:,,21.09,18.62,17.18,16.21,14.34,13.53,13.06,12.45,12.2,11.93,9.11,true
L8,,,20.57,17.88,16.69,14.63,13.49,12.85,12.11,11.51,10.52,9.36,true
L0,,22.07,19.93,18.46,17.49,15.56,14.97,14.56,14.05,13.71,12.28,9.06,true
L0,,,20.59,19.09,18.17,16.31,15.89,15.21,15.01,14.61,12.78,9.3,true
L1::,,,20.37,18.73,17.68,15.38,14.34,13.6,13.06,12.77,12.2,9.46,true
L1,,21.86,20.1,18.65,17.7,15.79,14.92,14.35,13.98,13.72,12.39,9.18,true
L0,,22.4,20.06,18.68,17.71,15.92,15.11,14.61,14.25,13.89,12.21,9.36,true
L4,,,20.9,19.44,18.47,16.85,15.89,15.53,15.18,15.04,12.25,8.89,true
L1.5,,21.27,19.12,17.56,16.6,14.64,13.77,13.24,12.81,12.54,12.22,9.15,true
L1,,22.57,20.45,18.96,18.01,16.26,15.4,14.78,14.43,14.2,12.64,9.3,true
L4:,,,21.35,19.44,18.39,16.39,15.57,15.54,14.77,14.49,12.45,8.9,true
L0.5,,20.54,18.22,16.8,15.83,13.89,13.15,12.52,12.18,11.93,11.41,8.93,true
L4,,,21.73,19.91,18.95,16.74,15.74,15.25,14.66,14.45,12.46,8.89,true
T3:,,,,20.3,19.04,16.73,15.82,15.54,14.85,13.99,12.7,9.32,true
T7.5,,,,,19.8,17.63,17.55,18.9,15.99,12.78,12.23,8.97,true
L6,,20.42,18.35,16.3,15.21,13.15,12.46,12.11,11.36,11.03,10.27,8.54,true
L4,,,21.73,20.09,19.07,16.95,15.96,15.6,14.7,14.39,13.14,9.56,true
L4,,,21.68,20.02,19.02,17.01,15.95,15.36,14.59,14.25,12.44,9.35,true
T5,,,,21.0,19.42,,,,16.6,14.73,12.3,9.44,true
L0,,21.75,19.44,18.02,17.1,15.22,14.55,14.21,13.81,13.53,12.58,9.38,true
L0,,21.86,19.42,18.0,17.07,15.24,14.48,13.93,13.64,13.4,12.62,9.56,true
L1:,,,20.85,19.4,18.41,16.51,15.69,15.26,14.96,14.67,12.5,9.39,true
L0,,,20.18,18.76,17.86,16.11,15.36,14.96,14.7,14.35,12.83,9.31,true
L1,,21.92,19.51,17.92,16.96,15.12,14.52,14.06,13.64,13.36,12.27,9.34,true
L0,,19.58,17.38,15.97,14.98,13.23,12.43,11.94,11.57,11.3,10.23,8.57,true
L6.5::,,,22.08,20.23,19.13,17.06,16.03,15.64,14.96,14.66,13.15,9.45,true
L0,,,20.61,19.11,18.22,16.53,16.1,15.56,15.29,14.92,12.78,9.11,true
L2,,21.53,19.46,18.06,17.09,15.1,14.22,13.65,13.23,12.97,11.99,9.08,true
L3,,,21.6,20.49,19.56,,,,15.45,15.27,12.7,8.96,true
L4,,,21.41,19.87,18.79,16.63,15.96,15.28,14.15,13.96,12.42,9.43,true
L4,,,,18.87,17.88,15.69,14.78,14.17,,,,,true
L4.0::,,,21.27,19.61,18.64,16.62,15.59,14.72,14.29,14.0,12.7,9.12,true
T0,,,,20.83,19.74,,,,15.49,14.91,12.09,9.14,true
L0,,22.65,20.37,18.95,18.07,16.32,15.44,14.99,14.74,14.44,13.08,9.47,true
L4,,21.69,19.64,18.04,16.99,14.78,13.88,13.27,12.66,12.41,11.73,9.18,true
L0,,22.01,19.53,17.98,17.07,15.37,14.52,14.02,13.69,13.36,12.88,9.26,true
L0,,22.2,19.84,18.36,17.47,15.97,14.93,14.53,14.24,13.9,12.59,9.35,true
T4.5,,,,21.5,19.49,,,,16.58,15.1,12.34,9.38,true
L2,,21.07,18.73,17.3,16.32,14.27,13.44,12.77,12.32,12.03,11.34,9.1,true
L0,,22.73,20.38,18.93,17.97,16.29,15.38,14.98,14.76,14.39,12.74,9.11,true
L2,,21.93,19.62,17.99,17.04,15.15,14.5,14.13,13.72,13.43,12.82,9.51,true
L1,,22.74,20.04,18.59,17.6,15.59,14.77,14.16,13.85,13.62,12.43,9.1,true
L4.5,,,21.82,20.2,19.22,17.12,16.27,15.49,14.88,14.57,12.36,9.31,true
L1,,,20.05,18.62,17.65,15.75,15.05,14.77,14.14,13.92,12.6,8.99,true
T2.5,,,,20.78,19.45,,,,15.92,14.83,12.84,9.3,true
L6,,,21.51,19.72,18.73,16.58,15.6,14.83,14.06,13.6,11.92,9.01,true
L0,,,20.3,18.88,18.05,16.48,15.61,15.32,15.11,14.87,12.23,9.34,true
L3,,,20.91,19.45,18.47,16.49,15.66,15.03,14.86,14.57,12.33,9.1,true
T2:,,,,20.66,19.46,17.14,16.15,16.91,15.32,14.25,12.13,9.14,true
T8pec,,,,21.88,20.44,17.52,17.62,16.97,16.89,14.6,12.6,8.95,true
L5,,,22.25,20.53,19.38,,,,14.74,14.36,12.71,9.12,true
L1,,,22.58,21.03,19.7,,,,15.58,15.49,12.31,9.22,true
L1,,,22.37,20.66,19.68,,,,16.11,15.8,12.79,9.07,true
L5,,,20.73,19.17,18.16,15.96,15.1,14.37,13.82,13.56,12.78,9.51,true
L3:,,,20.23,18.78,17.75,15.49,14.5,13.86,13.3,12.97,12.0,8.95,true
L0,,22.85,20.28,18.85,17.93,16.02,15.17,14.86,14.6,14.41,12.0,9.2,true
L0,,22.22,19.87,18.37,17.4,15.39,14.65,14.09,13.69,13.41,12.45,8.7,true
L1,21.74,19.52,17.13,15.63,14.68,12.76,12.04,11.55,11.2,10.96,10.52,9.45,true
L1,,22.72,20.63,19.19,18.24,15.99,15.67,14.81,14.44,14.22,12.11,9.16,true
L1,,22.98,20.62,19.14,18.14,16.22,15.45,14.54,14.36,14.07,12.92,9.43,true
T2.5,,,,20.74,19.4,17.22,16.28,15.88,15.77,14.71,12.93,9.34,true
L1,,22.9,20.45,18.95,17.95,15.95,15.08,14.6,14.12,13.81,12.79,9.15,true
L3,,,20.58,19.09,18.07,16.07,15.41,14.82,14.29,14.03,12.87,9.02,true
L1,,,19.83,18.3,17.34,15.38,14.72,14.25,13.94,13.74,12.63,8.86,true
L2(blue),,,20.69,19.11,18.11,15.87,15.39,14.84,14.34,13.92,12.88,9.36,true
